Timeout : 1800s,,,,,,
Map,BFS,,,A*,,
,Steps,StatesExplored,ExecutionTime,Steps,StatesExplored,ExecutionTime
1,92,472,0.556,70,998,1.596
2,37,488,0.566,34,989,1.063
3,53,1057,1.776,51,1534,2.673
4,101,866,2.519,89,8811,174.92
5,65,3972,49.221,57,10581,160.521
6,75,538,0.976,71,9237,151.107
7,44,1098,2.575,27,1589,3.289
8,165,5204,102.185,100,10182,200.025
9,103,2495,28.791,95,4840,41.343
10,48,3466,45.392,30,7618,90.703
11,142,1050,4.551,102,2303,8.685
12,85,962,4.758,75,2393,10.038
13,129,4550,85.674,113,11172,225.961
14,137,2603,34.224,81,4977,58.887
15,111,1587,12.535,83,2015,8.154
16,153,3477,35.071,115,4936,45.328
17,81,1194,5.36,73,2691,14.125
18,133,6576,141.056,113,9590,177.952
19,94,1443,6.368,72,2467,10.224
20,110,4422,56.455,100,5301,52.506
21,148,2359,18.202,104,3517,23.578
22,226,13294,405.757,190,15333,523.672
23,81,344,0.359,75,543,0.632
24,92,647,1.208,92,688,0.86
